date,stop1.0x_target1.0x,stop1.0x_target2.0x,stop1.0x_target3.0x,stop1.5x_target1.0x,stop1.5x_target2.0x,stop1.5x_target3.0x,stop2.0x_target1.0x,stop2.0x_target2.0x,stop2.0x_target3.0x,stop3.0x_target1.0x,stop3.0x_target2.0x,stop3.0x_target3.0x
2023-11-26,0.9625166349851881,0.9736988413723703,0.9743750761005726,0.9685613471358006,0.9874982323312502,0.9887616350621116,0.9659022298335246,0.983839863365412,0.9864441435059308,0.9855487112150075,0.997634519556224,1.0004145228927137
2023-12-03,0.9615971233456625,0.9795993566719781,0.9821648591717465,0.9705176422667319,0.9926133387951845,0.995559627440209,0.966523769337546,0.9884612836891402,0.9927173596105962,0.9872202992638196,1.0023617039912724,1.005745216425537
2023-12-10,0.941378480997675,0.9707475961999694,0.9722928701207281,0.9480817716944863,0.9821089242617573,0.9844932627478946,0.9420399297852031,0.9758102891102228,0.9795277626830675,0.9544510280415831,0.9814279511229487,0.9847683460133427
2023-12-17,0.9547372380432345,0.9902632295698145,0.9899834420842848,0.9691969779318688,1.007392226151999,1.006157103045885,0.9642041459558497,0.9964510670569291,0.998125749123215,0.9775802187462752,1.002203524051403,1.0036339263323228
2023-12-24,0.9700341692106648,1.0132563595129305,1.0139487518173376,0.9849482741354895,1.0286260766196054,1.0287872726216816,0.9804785766558195,1.0165553656262283,1.0199252487757937,0.993717966871785,1.0219151609084411,1.0248091942586535
2023-12-31,0.9701521380886998,1.0130734998189628,1.016324243515914,0.9841740832046286,1.0279864247690995,1.0306812318181275,0.9801665824575407,1.0158738523020752,1.0215491181493583,0.9936748964951124,1.0214900676425906,1.0266967535016702
2024-01-07,0.9649122476627648,1.0049812007965215,1.0078324140050752,0.974087262166462,1.0174583426567005,1.0206438026259999,0.9660544784279292,1.0010272820195076,1.0070400579681655,0.9761642553302772,1.0035565970573268,1.0091199540425653
2024-01-14,0.9806242503586636,1.0148441717057255,1.0195395043314246,0.9875718634299866,1.0312166130967435,1.0362727027683563,0.9801519454219436,1.0151966761664668,1.0229724892666978,0.9892411481206745,1.0158656075998296,1.0231854448687392
2024-01-21,0.976263037075631,1.0122194016630943,1.0174864791774807,0.9822087310972833,1.0297473632040608,1.0364110635187609,0.975648835334755,1.0138360612424269,1.0228251533583756,0.9878671966377728,1.0161888636079557,1.0246466509924126
2024-01-28,0.9798150321658037,1.01834634790261,1.019089649537858,0.9890259770246308,1.0390617732127525,1.041787144341957,0.9831265250670447,1.0238601717733122,1.0294705503685833,0.9933683966847298,1.024843968274162,1.02964655589848
2024-02-04,0.9870227688028509,1.0302120499397256,1.0285057781170495,1.0016369361601556,1.0518872326784425,1.0524508060017277,0.9962914694680096,1.0347361043149805,1.038131555617341,1.0071631931791192,1.0367545097229869,1.03920950749193
2024-02-11,0.990337849563609,1.0346558134285853,1.0341919952516572,1.0084172914646041,1.0547824726970685,1.0567839636922771,1.0052307248433967,1.0424281238264919,1.0473212264573615,1.0183873374142651,1.0462775505163433,1.0498940920512911
2024-02-18,0.9986495309519169,1.0391154442614108,1.0414733764220876,1.0183415528048074,1.0610694286212052,1.0666912445991141,1.015787995319711,1.0488832842613565,1.057097377628219,1.0291506408193227,1.0525875186024127,1.0588574200606786
